text,lemma,pos,coarse
eintreten,eintreten,VVINF,VERB
",",--,"$,",PUNCT
dass,dass,KOUS,SCONJ
man,man,PIS,PRON
mittelst,mittelst,VVFIN,ADJ
Arbeiten,Arbeit,NN,NOUN
und,und,KON,CCONJ
Schmerzen,Schmerz,NN,NOUN
eine,ein,ART,DET
grosse,groß,ADJA,ADJ
Lust,Lust,NN,NOUN
sich,sich,PRF,PRON
zu,zu,PTKZU,PART
verschaften,verschaften,VVINF,VERB
suchen,suchen,VVINF,VERB
müsse,müssen,VMFIN,AUX
.,--,$.,PUNCT
Um,um,KOUI,SCONJ
hier,hier,ADV,ADV
gleich,gleich,ADV,ADV
bei,bei,APPR,ADP
dem,der,ART,DET
Einfachsten,Einfachst,NN,NOUN
stehen,stehen,VVINF,VERB
zu,zu,PTKZU,PART
bleiben,bleiben,VVINF,VERB
",",--,"$,",PUNCT
so,so,ADV,ADV
würde,werden,VAFIN,AUX
Niemand,Niemand,PIS,PRON
von,von,APPR,ADP
uns,uns,PPER,PRON
anstrengende,anstrengend,ADJA,ADJ
körperliche,körperlich,ADJA,ADJ
Übungen,Übung,NN,NOUN
vornehmen,vornehmen,VVINF,VERB
",",--,"$,",PUNCT
wenn,wenn,KOUS,SCONJ
er,er,PPER,PRON
nicht,nicht,PTKNEG,PART
einen,ein,ART,DET
Vortheil,Vortheil,NN,NOUN
davon,davon,PROAV,ADV
erwartete,erwarten,VVFIN,VERB
.,--,$.,PUNCT
Wer,wer,PWS,PRON
dürfte,dürfen,VMFIN,AUX
aber,aber,ADV,ADV
wohl,wohl,ADV,ADV
Den,der,ART,DET
tadeln,tadeln,VVINF,VERB
",",--,"$,",PUNCT
der,der,PRELS,PRON
nach,nach,APPR,ADP
einer,ein,ART,DET
Lust,Lust,NN,NOUN
verlangt,verlangen,VVPP,VERB
",",--,"$,",PUNCT
welcher,welcher,PRELS,PRON
keine,kein,PIAT,DET
Unannehmlichkeit,Unannehmlichkeit,NN,NOUN
folgt,folgen,VVFIN,VERB
",",--,"$,",PUNCT
oder,oder,KON,CCONJ
der,der,ART,PRON
einem,ein,ART,DET
Schmerze,Schmerze,NN,NOUN
ausweicht,ausweichen,VVFIN,VERB
",",--,"$,",PUNCT
aus,aus,APPR,ADP
dem,der,PRELS,PRON
keine,kein,PIAT,DET
Lust,Lust,NN,NOUN
hervorgeht,hervorgehen,VVFIN,VERB
?,--,$.,PUNCT
Dagegen,dagegen,PROAV,ADV
tadelt,tadeln,VVFIN,VERB
und,und,KON,CCONJ
hasst,hassen,VVFIN,VERB
man,man,PIS,PRON
mit,mit,APPR,ADP
Recht,Recht,NN,NOUN
Den,der,NN,DET
",",--,"$,",PUNCT
welcher,welcher,PRELS,PRON
sich,sich,PRF,PRON
durch,durch,APPR,ADP
die,der,ART,DET
Lockungen,Lockung,NN,NOUN
einer,ein,ART,DET
gegenwärtigen,gegenwärtig,ADJA,ADJ
Lust,Lust,NN,NOUN
erweichen,erweichen,VVIZU,VERB
und,und,KON,CCONJ
verführen,verführen,ADJD,ADV
lässt,lässen,VVPP,VERB
",",--,"$,",PUNCT
ohne,ohne,KOUI,SCONJ
in,in,APPR,ADP
seiner,sein,PPOSAT,DET
blinden,blinde,ADJA,ADJ
Begierde,Begierde,NN,NOUN
zu,zu,PTKZU,PART
sehen,sehen,VVINF,VERB
",",--,"$,",PUNCT
welche,welcher,PWAT,DET
Schmerzen,Schmerz,NN,NOUN
und,und,KON,CCONJ
Unannehmlichkeiten,Unannehmlichkeit,NN,NOUN
seiner,sein,PPOSAT,DET
deshalb,deshalb,PROAV,ADV
warten,warten,VVINF,VERB
.,--,$.,PUNCT
Gleiche,gleich,ADJA,ADJ
Schuld,Schuld,NN,NOUN
treffe,treffen,VVFIN,VERB
Die,der,PDS,DET
",",--,"$,",PUNCT
welche,welcher,PRELS,PRON
aus,aus,APPR,ADP
geistiger,geistig,ADJA,ADJ
Schwäche,Schwäche,NN,NOUN
",",--,"$,",PUNCT
d.h.,d.h.,$(,PUNCT
um,um,APPR,ADP
der,der,ART,DET
Arbeit,Arbeit,NN,NOUN
und,und,KON,CCONJ
dem,der,ART,DET
Schmerze,Schmerze,NN,NOUN
zu,zu,PTKZU,PART
entgehen,entgehen,VVINF,VERB
",",--,"$,",PUNCT
ihre,ihr,PPOSAT,DET
Pflichten,Pflicht,NN,NOUN
verabsäumen,verabsäumen,VVINF,VERB
.,--,$.,PUNCT
Man,man,PIS,PRON
kann,können,VMFIN,AUX
hier,hier,ADV,ADV
leicht,leicht,ADJD,ADV
und,und,KON,CCONJ
schnell,schnell,ADJD,ADV
den,der,ART,DET
richtigen,richtig,ADJA,ADJ
Unterschied,Unterschied,NN,NOUN
treffen,treffen,VVINF,VERB
;,--,$.,PUNCT
zu,zu,APPR,ADP
einer,ein,ART,DET
ruhigen,ruhig,ADJA,ADJ
Zeit,Zeit,NN,NOUN
",",--,"$,",PUNCT
wo,wo,PWAV,SCONJ
die,der,ART,DET
Wahl,Wahl,NN,NOUN
der,der,ART,DET
Entscheidung,Entscheidung,NN,NOUN
völlig,völlig,ADJD,ADV
frei,frei,ADJD,ADV
ist,sein,VAFIN,AUX
und,und,KON,CCONJ
nichts,nichts,PIS,PRON
hindert,hindern,VVFIN,VERB
",",--,"$,",PUNCT
das,der,PRELS,PRON
zu,zu,PTKZU,PART
thun,thun,VVINF,VERB
",",--,"$,",PUNCT
was,wer,PRELS,PRON
den,der,ART,DET
Meisten,Meister,NN,NOUN
gefällt,fällen,VVFIN,VERB
",",--,"$,",PUNCT
hat,haben,VAFIN,AUX
man,man,PIS,PRON
jede,jeder,PIAT,DET
Lust,Lust,NN,NOUN
zu,zu,PTKZU,PART
erfassen,erfassen,VVINF,VERB
und,und,KON,CCONJ
jeden,jeder,PIAT,DET
Schmerz,Schmerz,NN,NOUN
abzuhalten,abhalten,VVIZU,VERB
;,--,$.,PUNCT
aber,aber,KON,CCONJ
zu,zu,APPR,ADP
Zeiten,Zeit,NN,NOUN
trifft,treffen,VVFIN,VERB
es,es,PPER,PRON
sich,sich,PRF,PRON
in,in,APPR,ADP
Folge,Folge,NN,NOUN
von,von,APPR,ADP
schuldigen,schuldig,ADJA,ADJ
Pflichten,Pflicht,NN,NOUN
oder,oder,KON,CCONJ
von,von,APPR,ADP
sachlicher,sachlich,ADJA,ADJ
Noth,Noth,NN,NOUN
",",--,"$,",PUNCT
dass,dass,KOUS,SCONJ
man,man,PIS,PRON
die,der,ART,DET
Lust,Lust,NN,NOUN
zurückweisen,zurückweisen,VVINF,VERB
und,und,KON,CCONJ
Beschwerden,Beschwerde,NN,NOUN
nicht,nicht,PTKNEG,PART
von,von,APPR,ADP
sich,sich,PRF,PRON
weisen,weisen,VVINF,VERB
darf,dürfen,VMFIN,AUX
.,--,$.,PUNCT
Deshalb,deshalb,PROAV,ADV
trifft,treffen,VVFIN,VERB
der,der,ART,DET
Weise,Weise,NN,NOUN
dann,dann,ADV,ADV
eine,ein,ART,DET
Auswahl,Auswahl,NN,NOUN
",",--,"$,",PUNCT
damit,damit,KOUS,SCONJ
er,er,PPER,PRON
durch,durch,APPR,ADP
Zurückweisung,Zurückweisung,NN,NOUN
einer,ein,ART,DET
Lust,Lust,NN,NOUN
dafür,dafür,PROAV,ADV
eine,ein,ART,DET
grössere,grösser,ADJA,ADJ
erlange,Erlange,NN,NOUN
oder,oder,KON,CCONJ
durch,durch,APPR,ADP
Übernahme,Übernahme,NN,NOUN
gewisser,gewiss,ADJA,ADJ
Schmerzen,Schmerz,NN,NOUN
sich,sich,PRF,PRON
grössere,grösser,ADJA,ADJ
erspare,erspare,NN,ADV
.,--,$.,PUNCT
Gliederung,Gliederung,NN,NOUN
Nach,nach,APPR,ADP
der,der,ART,DET
Zueignung,Zueignung,NN,NOUN
und,und,KON,CCONJ
dem,der,ART,DET
Vorspiel,Vorspiel,NN,NOUN
auf,auf,APPR,ADP
dem,der,ART,DET
Theater,Theater,NN,NOUN
",",--,"$,",PUNCT
die,der,PRELS,PRON
nicht,nicht,PTKNEG,PART
bei,bei,APPR,ADP
jeder,jeder,PIAT,DET
Aufführung,Aufführung,NN,NOUN
des,der,ART,DET
Faust,Faust,NN,NOUN
gespielt,spielen,VVPP,VERB
werden,werden,VAINF,AUX
",",--,"$,",PUNCT
gehört,gehören,VVFIN,VERB
der,der,ART,DET
Prolog,Prolog,NN,NOUN
im,in,APPRART,ADP
Himmel,Himmel,NN,NOUN
bereits,bereits,ADV,ADV
zur,zu,APPRART,ADP
Handlung,Handlung,NN,NOUN
",",--,"$,",PUNCT
da,da,KOUS,SCONJ
die,der,ART,DET
Wette,Wette,NN,NOUN
zwischen,zwischen,APPR,ADP
dem,der,ART,DET
Herrn,Herr,NN,NOUN
und,und,KON,CCONJ
Mephisto,Mephisto,NE,PROPN
den,der,ART,DET
Anlass,Anlass,NN,NOUN
für,für,APPR,ADP
Fausts,Faust,NE,PROPN
Schicksal,Schicksal,NN,NOUN
gibt,geben,VVFIN,VERB
.,--,$.,PUNCT
Die,der,ART,DET
beiden,beide,PIAT,DET
Haupthandlungsstränge,Haupthandlungsstränge,NN,NOUN
sind,sein,VAFIN,AUX
die,der,ART,DET
Tragödie,Tragödie,NN,NOUN
des,der,ART,DET
verzweifelten,verzweifelt,ADJA,ADJ
Wissenschaftlers,Wissenschaftler,NN,NOUN
",",--,"$,",PUNCT
der,der,PRELS,PRON
sich,sich,PRF,PRON
dem,der,ART,DET
Teufel,Teufel,NN,NOUN
verschreibt,verschreiben,VVFIN,VERB
",",--,"$,",PUNCT
sowie,sowie,KON,CCONJ
die,der,ART,DET
daraus,daraus,PROAV,ADV
erwachsende,erwachsend,ADJA,ADJ
Tragödie,Tragödie,NN,NOUN
des,der,ART,DET
verführten,verführten,NN,NOUN
und,und,KON,CCONJ
ins,in,APPRART,ADP
Unglück,Unglück,NN,NOUN
gestürzten,gestürzt,ADJA,ADJ
Mädchens,Mädchen,NE,PROPN
Gretchen,Gretchen,NN,NOUN
.,--,$.,PUNCT
Man,man,PIS,PRON
unterscheidet,unterscheiden,VVFIN,VERB
daher,daher,PROAV,ADV
zwischen,zwischen,APPR,ADP
„,--,$(,PUNCT
Gretchentragödie,Gretchentragödie,NN,NOUN
“,--,$(,PUNCT
und,und,KON,CCONJ
der,der,ART,DET
„,--,$(,PUNCT
Gelehrtentragödie,Gelehrtentragödie,NN,NOUN
“,--,$(,PUNCT
.,--,$.,PUNCT
Mit,mit,APPR,ADP
Gretchens,Gretchen,NE,PROPN
Hinrichtung,Hinrichtung,NN,NOUN
und,und,KON,CCONJ
der,der,ART,DET
Errettung,Errettung,NN,NOUN
ihrer,ihr,PPOSAT,DET
Seele,Seele,NN,NOUN
endet,enden,VVFIN,VERB
der,der,ART,DET
erste,erster,ADJA,ADJ
Teil,Teil,NN,NOUN
des,der,ART,DET
Faust,Faust,NN,NOUN
;,--,$.,PUNCT
die,der,ART,DET
Gelehrtentragödie,Gelehrtentragödie,NN,NOUN
findet,finden,VVFIN,VERB
ihre,ihr,PPOSAT,DET
Fortsetzung,Fortsetzung,NN,NOUN
und,und,KON,CCONJ
Erfüllung,Erfüllung,NN,NOUN
im,in,APPRART,ADP
zweiten,zweiter,ADJA,ADJ
Teil,Teil,NN,NOUN
.,--,$.,PUNCT
Die,der,ART,DET
Szenen,Szene,NN,NOUN
Auerbachs,Auerbach,NE,PROPN
Keller,Keller,NN,NOUN
in,in,APPR,ADP
Leipzig,Leipzig,NE,PROPN
und,und,KON,CCONJ
Walpurgisnacht,Walpurgisnacht,NN,NOUN
treiben,treiben,VVFIN,VERB
die,der,ART,DET
Handlung,Handlung,NN,NOUN
eigentlich,eigentlich,ADV,ADV
nicht,nicht,PTKNEG,PART
voran,voran,PTKVZ,ADP
.,--,$.,PUNCT
Sie,sie,PPER,PRON
sind,sein,VAFIN,AUX
Beispiele,Beispiel,NN,NOUN
für,für,APPR,ADP
tiefere,tief,ADJA,ADJ
Einblicke,Einblick,NN,NOUN
in,in,APPR,ADP
das,der,ART,DET
Weltgeschehen,Weltgeschehen,NN,NOUN
",",--,"$,",PUNCT
die,der,PRELS,PRON
dem,der,ART,DET
nach,nach,APPR,ADP
Erkenntnis,Erkenntnis,NN,NOUN
suchenden,suchend,ADJA,ADJ
Faust,Faust,NN,NOUN
von,von,APPR,ADP
Mephisto,Mephisto,NE,PROPN
ermöglicht,ermöglichen,VVPP,VERB
werden,werden,VAINF,AUX
.,--,$.,PUNCT
Die,der,ART,DET
Szene,Szene,NN,NOUN
Walpurgisnachtstraum,Walpurgisnachtstraum,NN,NOUN
oder,oder,KON,CCONJ
Oberons,Oberon,NN,PROPN
und,und,KON,CCONJ
Titanias,Titania,NE,PROPN
goldne,Goldne,NE,PROPN
Hochzeit,Hochzeit,NN,NOUN
ist,sein,VAFIN,AUX
im,in,APPRART,ADP
Untertitel,Untertitel,NN,NOUN
als,als,APPR,ADP
Intermezzo,Intermezzo,NN,NOUN
gekennzeichnet,kennzeichnen,VVPP,VERB
und,und,KON,CCONJ
wird,werden,VAFIN,AUX
ebenfalls,ebenfalls,ADV,ADV
nicht,nicht,PTKNEG,PART
bei,bei,APPR,ADP
jeder,jeder,PIAT,DET
Inszenierung,Inszenierung,NN,NOUN
des,der,ART,DET
Faust,Faust,NN,NOUN
aufgeführt,aufführen,VVPP,VERB
.,--,$.,PUNCT
Sprache,Sprache,NN,NOUN
Faust,Faust,NN,NOUN
in,in,APPR,ADP
seinem,sein,PPOSAT,DET
Studierzimmer,Studierzimmer,NN,NOUN
",",--,"$,",PUNCT
von,von,APPR,ADP
Eugène,Eugène,NN,PROPN
Delacroix,Delacroix,NE,PROPN
Mit,mit,APPR,ADP
Ausnahme,Ausnahme,NN,NOUN
der,der,ART,DET
Szene,Szene,NN,NOUN
Trüber,Trüber,NE,PROPN
Tag,Tag,NN,NOUN
.,--,$.,PUNCT
Feld,Feld,NN,NOUN
ist,sein,VAFIN,AUX
der,der,ART,DET
Faust,Faust,NN,NOUN
in,in,APPR,ADP
Versen,Vers,NN,NOUN
geschrieben,schreiben,VVPP,VERB
.,--,$.,PUNCT
Goethe,Goethe,NE,PROPN
verwendete,verwenden,VVFIN,VERB
den,der,ART,DET
am,an,APPRART,ADP
Versende,Versende,NN,NOUN
reimenden,reimend,ADJA,ADJ
Knittelvers,Knittelver,NN,NOUN
",",--,"$,",PUNCT
wie,wie,PWAV,SCONJ
er,er,PPER,PRON
in,in,APPR,ADP
ähnlicher,ähnlich,ADJA,ADJ
Form,Form,NN,NOUN
schon,schon,ADV,ADV
zu,zu,APPR,ADP
Lebzeiten,Lebzeiten,NN,NOUN
des,der,ART,DET
historischen,historisch,ADJA,ADJ
Doktor,Doktor,NN,NOUN
Faust,Faust,NE,PROPN
",",--,"$,",PUNCT
etwa,etwa,ADV,ADV
von,von,APPR,ADP
Hans,Hans,NE,PROPN
Sachs,Sachs,NE,PROPN
",",--,"$,",PUNCT
benutzt,benutzen,VVPP,VERB
wurde,werden,VAFIN,AUX
",",--,"$,",PUNCT
und,und,KON,CCONJ
den,der,ART,DET
Madrigalvers,Madrigalver,NN,NOUN
.,--,$.,PUNCT
Das,der,ART,DET
Versmaß,Versmaß,NN,NOUN
des,der,ART,DET
Faust,Faust,NN,NOUN
passt,passen,VVFIN,VERB
also,also,ADV,ADV
nicht,nicht,PTKNEG,PART
nur,nur,ADV,ADV
gut,gut,ADJD,ADV
zum,zu,APPRART,ADP
historischen,historisch,ADJA,ADJ
Hintergrund,Hintergrund,NN,NOUN
",",--,"$,",PUNCT
es,es,PPER,PRON
ermöglicht,ermöglichen,VVFIN,VERB
auch,auch,ADV,ADV
eine,ein,ART,DET
lebensechte,lebensecht,ADJA,ADJ
Sprache,Sprache,NN,NOUN
der,der,ART,DET
Personen,Person,NN,NOUN
.,--,$.,PUNCT
Der,der,ART,DET
Endreim,Endreim,NN,NOUN
unterstützt,unterstützen,VVFIN,VERB
überdies,überdies,ADV,ADV
die,der,ART,DET
zahlreichen,zahlreich,ADJA,ADJ
komödiantischen,komödiantisch,ADJA,ADJ
Dialoge,Dialog,NN,NOUN
im,in,APPRART,ADP
Faust,Faust,NN,NOUN
.,--,$.,PUNCT
Einige,einiger,PIAT,DET
Beispiele,Beispiel,NN,NOUN
:,--,$.,PUNCT
Wagner,Wagner,NN,NOUN
:,--,$.,PUNCT
Verzeiht,Verzeiht,NN,VERB
!,--,$.,PUNCT
ich,ich,PPER,PRON
hör,hör,PTKVZ,AUX
Euch,euch,PPER,PRON
deklamieren,deklamieren,VVFIN,VERB
;,--,$.,PUNCT
Ihr,ihr,PPER,PRON
last,lastn,VVFIN,VERB
gewiss,gewiss,VVFIN,VERB
ein,ein,ART,DET
griechisch,griechisch,ADJD,ADV
Trauerspiel,Trauerspiel,NN,NOUN
?,--,$.,PUNCT
In,in,APPR,ADP
dieser,dieser,PDAT,DET
Kunst,Kunst,NN,NOUN
möcht,möcht,VVFIN,VERB
ich,ich,PPER,PRON
was,was,PIS,PRON
profitieren,profitieren,VVINF,VERB
",",--,"$,",PUNCT
denn,denn,KON,CCONJ
heutzutage,heutzutage,ADV,ADV
wirkt,wirken,VVFIN,VERB
das,der,PDS,PRON
viel,viel,PIS,PRON
.,--,$.,PUNCT
Bürger,Bürger,NN,NOUN
:,--,$.,PUNCT
Nichts,nichts,PIS,PRON
bessers,bessers,ADV,ADV
weiß,wissen,VVFIN,VERB
ich,ich,PPER,PRON
mir,sich,PRF,PRON
an,an,APPR,ADP
Sonn-,Sonn,TRUNC,X
und,und,KON,CCONJ
Feiertagen,Feiertag,NN,NOUN
als,als,APPR,ADP
ein,ein,ART,DET
Gespräch,Gespräch,NN,NOUN
von,von,APPR,ADP
Krieg,Krieg,NN,NOUN
und,und,KON,CCONJ
Kriegsgeschrei,Kriegsgeschrei,NN,NOUN
",",--,"$,",PUNCT
wenn,wenn,KOUS,SCONJ
hinten,hinten,ADV,ADV
",",--,"$,",PUNCT
weit,weit,ADJD,ADV
",",--,"$,",PUNCT
in,in,APPR,ADP
der,der,ART,DET
Türkei,Türkei,NE,PROPN
",",--,"$,",PUNCT
die,der,ART,DET
Völker,Volk,NN,NOUN
aufeinanderschlagen,aufeinanderschlagen,VVPP,VERB
.,--,$.,PUNCT
Faust,Faust,NN,NOUN
:,--,$.,PUNCT
Und,und,KON,CCONJ
was,was,PWS,PRON
soll,sollen,VMFIN,AUX
ich,ich,PPER,PRON
dagegen,dagegen,PROAV,ADV
dir,dir,PPER,PRON
erfüllen,erfüllen,VVFIN,VERB
?,--,$.,PUNCT
Mephisto,Mephisto,NE,PROPN
:,--,$.,PUNCT
Dazu,dazu,PROAV,ADV
hast,haben,VAFIN,AUX
du,du,PPER,PRON
noch,noch,ADV,ADV
eine,ein,ART,DET
lange,lang,ADJA,ADJ
Frist,Frist,NN,NOUN
.,--,$.,PUNCT
Faust,Faust,NN,NOUN
:,--,$.,PUNCT
Nein,nein,PTKANT,PART
",",--,"$,",PUNCT
nein,nein,PTKANT,PART
!,--,$.,PUNCT
Der,der,ART,DET
Teufel,Teufel,NN,NOUN
ist,sein,VAFIN,AUX
ein,ein,ART,DET
Egoist,Egoist,NN,NOUN
und,und,KON,CCONJ
tut,tun,VVFIN,VERB
nicht,nicht,PTKNEG,PART
leicht,leicht,ADJD,ADV
um,um,APPR,ADP
Gottes,Gott,NN,NOUN
Willen,Wille,NN,NOUN
",",--,"$,",PUNCT
was,wer,PRELS,PRON
einem,ein,ART,DET
andern,anderer,PIS,PRON
nützlich,nützlich,ADJD,ADV
ist,sein,VAFIN,AUX
.,--,$.,PUNCT
Faust,Faust,NN,NOUN
:,--,$.,PUNCT
Mich,mich,PPER,PRON
dünkt,dünken,VVFIN,VERB
",",--,"$,",PUNCT
die,der,ART,DET
Alte,alt,NN,NOUN
spricht,sprechen,VVFIN,VERB
im,in,APPRART,ADP
Fieber,Fieber,NN,NOUN
.,--,$.,PUNCT
Mephisto,Mephisto,NE,PROPN
:,--,$.,PUNCT
Das,der,PDS,PRON
ist,sein,VAFIN,AUX
noch,noch,ADV,ADV
lange,lange,ADV,ADV
nicht,nicht,PTKNEG,PART
vorüber,vorüber,ADV,ADV
.,--,$.,PUNCT
Ein,ein,ART,DET
bekanntes,bekannt,ADJA,ADJ
Beispiel,Beispiel,NN,NOUN
für,für,APPR,ADP
einen,ein,ART,DET
unreinen,unrein,ADJA,ADJ
Reim,Reim,NN,NOUN
im,in,APPRART,ADP
Faust,Faust,NN,NOUN
weist,weisen,VVFIN,VERB
auf,auf,APPR,ADP
die,der,ART,DET
mundartliche,mundartlich,ADJA,ADJ
Prägung,Prägung,NN,NOUN
des,der,ART,DET
Verfassers,Verfasser,NN,NOUN
hin,hin,PTKVZ,ADV
(,--,$(,PUNCT
„,--,$(,PUNCT
dialektischer,dialektisch,ADJA,ADJ
Reim,Reim,NN,NOUN
“,--,$(,PUNCT
),--,$(,PUNCT
.,--,$.,PUNCT
Gretchens,Gretchen,NE,PROPN
Anrufung,Anrufung,NN,NOUN
Mariens,Marien,NE,PROPN
",",--,"$,",PUNCT
Ach,ach,NN,NOUN
",",--,"$,",PUNCT
neige,neig,ADJA,ADJ
",",--,"$,",PUNCT
|,|,CARD,NUM
Du,du,PPER,PRON
Schmerzenreiche,Schmerzenreiche,NN,PROPN
(,--,$(,PUNCT
3587–3588,3587–3588,NE,PROPN
),--,$(,PUNCT
",",--,"$,",PUNCT
reimt,reimen,VVFIN,VERB
sich,sich,PRF,PRON
nicht,nicht,PTKNEG,PART
in,in,APPR,ADP
der,der,ART,DET
Standardsprache,Standardsprache,NN,NOUN
",",--,"$,",PUNCT
aber,aber,KON,CCONJ
im,in,APPRART,ADP
Frankfurter,Frankfurter,ADJA,ADJ
Hessisch,Hessisch,NN,NOUN
",",--,"$,",PUNCT
in,in,APPR,ADP
dem,der,PRELS,PRON
Goethe,Goethe,NE,PROPN
aufwuchs,aufwuchs,NE,VERB
.,--,$.,PUNCT
Die,der,ART,DET
Sprache,Sprache,NN,NOUN
ist,sein,VAFIN,AUX
zuweilen,zuweilen,ADV,ADV
poetisch,poetisch,ADJD,ADV
überhöht,überhöhen,VVPP,VERB
",",--,"$,",PUNCT
etwa,etwa,ADV,ADV
in,in,APPR,ADP
Gretchens,Gretchen,NE,PROPN
Klagen,Klage,NN,NOUN
.,--,$.,PUNCT
Zum,zu,APPRART,ADP
Beispiel,Beispiel,NN,NOUN
lässt,lässt,VVPP,VERB
Fausts,Faust,NN,PROPN
großer,groß,ADJA,ADJ
Monolog,Monolog,NN,NOUN
zu,zu,APPR,ADP
Beginn,Beginn,NN,NOUN
der,der,ART,DET
Handlung,Handlung,NN,NOUN
an,an,APPR,ADP
Klarheit,Klarheit,NN,NOUN
nichts,nichts,PIS,PRON
zu,zu,PTKZU,PART
wünschen,wünschen,VVINF,VERB
übrig,übrig,PTKVZ,ADP
;,--,$.,PUNCT
so,so,ADV,ADV
spricht,sprechen,VVFIN,VERB
ein,ein,ART,DET
frustrierter,frustriert,ADJA,ADJ
Intellektueller,Intellektueller,NN,NOUN
:,--,$.,PUNCT
„,--,$(,PUNCT
Habe,Haben,VAFIN,VERB
nun,nun,ADV,ADV
ach,ach,PTKVZ,ADP
!,--,$.,PUNCT
Philosophie,Philosophie,NN,NOUN
",",--,"$,",PUNCT
Juristerei,Juristerei,NE,NOUN
und,und,KON,CCONJ
Medizin,Medizin,NN,NOUN
",",--,"$,",PUNCT
und,und,KON,CCONJ
leider,leider,ADV,ADV
auch,auch,ADV,ADV
Theologie,Theologie,NN,NOUN
!,--,$.,PUNCT
durchaus,durchaus,ADV,ADV
studiert,studieren,VVFIN,VERB
mit,mit,APPR,ADP
heißem,heiß,ADJA,ADJ
Bemühn,Bemühn,NE,NOUN
.,--,$.,PUNCT
Da,da,KOUS,SCONJ
steh,steh,VVFIN,VERB
ich,ich,PPER,PRON
nun,nun,ADV,ADV
",",--,"$,",PUNCT
ich,ich,PPER,PRON
armer,arm,ADJA,ADJ
Tor,Tor,NN,NOUN
!,--,$.,PUNCT
und,und,KON,CCONJ
bin,sein,VAFIN,AUX
so,so,ADV,ADV
klug,klug,ADJD,ADV
als,als,KOKOM,ADP
wie,wie,KOKOM,ADP
zuvor,zuvor,ADV,ADV
;,--,$.,PUNCT
heiße,heiß,ADJA,ADJ
Magister,Magister,NN,NOUN
",",--,"$,",PUNCT
heiße,heißen,VVFIN,VERB
Doktor,Doktor,NN,NOUN
gar,gar,ADV,ADV
